Name	Set	ImageFile	Type	Title	Tags	Emblem	Color	Strength	Defense	Blast	Destiny	Required_Power	Required_Color	Required_Emblem	Text	Help	Number
Clear Victory	Promo	1-1CV.jpg	Resource				Red				2				SPEND: Lose 6 energy to make your opponent lose 4 energy.		1*1
Reckless	Promo	1-2reckless.jpg	Resource				Yellow				5	3			SPEND: Discard 2 yellow cards to destroy 3 of your opponent's resources.		1*2
ElecMan	PowerUp	1c1elecman.jpg	NetNavi	Fully Charged		ElecMan		1	0	1					Whenever you play a BattleChip, you may place up to 2 cards from your discard pile in your power gauge.		1C1
BoysBomb	PowerUp	1c10Boysbomb.jpg	BattleChip								3	2	1x Yellow		Your NetNavi is strength +1 for each card in your power gauge.		1C10
CannonBall	PowerUp	1c11cannonball.jpg	BattleChip								4		1x Green		Discard a card to make your NetNavi strength +4.		1C11
CyberSword	PowerUp	1c12cybersword.jpg	BattleChip								4		1x Blue		Make your opponent take a random card from his or her discard pile into hand to make your NetNavi strength +4.		1C12
Guard1	PowerUp	1c13guard1.jpg	BattleChip								3				Discard a blue card to make your NetNavi defense +3.		1C13
LaserBlast	PowerUp	1c14laserblast.jpg	BattleChip								5	3	2x Red		Your NetNavi is strength +5.		1C14
MegaEnergyBomb	PowerUp	1c15MEB.jpg	BattleChip								4	4			Lose 1 energy to make your NetNavi strength +2 for each blue resource you have in play.		1C15
RockCube	PowerUp	1c16rockcube.jpg	BattleChip								2				Burn 1 power to make your NetNavi defense +2. You may play an additional BattleChip.		1C16
TimeBomb	PowerUp	1c17timebomb.jpg	BattleChip								3	3	2x Red		Your NetNavi is defense +5.		1C17
Tornado	PowerUp	1c18tornado.jpg	BattleChip								2		1x Green		Your NetNavi is strength +1 for each card in your opponent's hand.		1C18
Vulcan1	PowerUp	1c19vulcan1.jpg	BattleChip								2	2			Your NetNavi is strength +2.		1C19
GutsMan	PowerUp	1c2gutsman.jpg	NetNavi	Body Strength		GutsMan		3	1	3					Whenever you play a BattleChip, your GutsMan is strength +1.		1C2
Asking For It	PowerUp	1c20askingforit.jpg	Event				Green				5		1x Green		Opponent draws 2 cards.		1C20
Cancelled	PowerUp	1c21cancelled.jpg	Event				Blue				5		1x Blue		Discard a card to cancel a BattleChip.		1C21
Fast And Powerful	PowerUp	1c22fap.jpg	Event				Blue				4		1x Blue		Reduce a NetNavi's blast to 1.		1C22
Fish Intervention	PowerUp	1c23FI.jpg	Event				Yellow				4		1x Yellow		Power Up.		1C23
Fish On The Brain	PowerUp	1c24fotb.jpg	Event				Blue				4		1x Blue		Discard a card to cancel a blast destiny.		1C24
Impressive Battlers	PowerUp	1c25IB.jpg	Event				Red				3	3	1x Red		Add 4 to your blast destiny.		1C25
Not Enough Power	PowerUp	1c26NEP.jpg	Event				Red				2		1x Red		You may play an additional BattleChip.		1C26
